Species ID,Common Names
CHIS-1000,Channel Islands Gray Fox
CHIS-1001,Spotted Skunk
CHIS-1002,Sea Otter
CHIS-1003,Guadalupe Fur Seal
CHIS-1004,Northern Fur Seal
CHIS-1005,"Northern Sea Lion, Stellar Sea Lion"
CHIS-1006,California Sea Lion
CHIS-1007,Northern Elephant Seal
CHIS-1008,Harbor Seal
CHIS-1009,Northern Right Whale
CHIS-1010,Minke Whale
CHIS-1011,Rorqual (Sei Whale)
CHIS-1012,Blue Whale
CHIS-1013,Finback Whale
CHIS-1014,Humback Whale
CHIS-1015,Common Dolphin
CHIS-1016,Risso Dolphin
CHIS-1017,Pacific White-Sided Dolphin
CHIS-1018,Right Whale Dolphin
CHIS-1019,Killer Whale
CHIS-1020,False Killer Whale
CHIS-1021,Rough-Toothed Dolphin
CHIS-1022,Pacific Bottlenose Dolphin
CHIS-1023,Gray Whale
CHIS-1024,Pacific Beaked Whale
CHIS-1025,Pygmy Sperm Whale
CHIS-1026,Harbor Porpoise
CHIS-1027,Dall's Porpoise
CHIS-1028,Sperm Whale
CHIS-1029,Western Mastiff Bat
CHIS-1030,Mexican Free-Tailed Bat
CHIS-1031,Pallid Bat
CHIS-1032,Big Brown Bat
CHIS-1033,Silver-Haired Bat
CHIS-1034,Red Bat
CHIS-1035,Hoary Bat
CHIS-1036,California Myotis
CHIS-1037,Long-Eared Myotis
CHIS-1038,Fringed Myotis
CHIS-1039,Townsend's Big-Eared Bat
CHIS-1040,European Rabbit
CHIS-1041,Deer Mouse
CHIS-1042,Western Harvest Mouse
CHIS-1043,Black Rat
CHIS-1044,Cooper's Hawk
CHIS-1045,Northern Goshawk
CHIS-1046,Sharp-Shinned Hawk
CHIS-1047,Golden Eagle
CHIS-1048,Red-Tailed Hawk
CHIS-1049,Rough-Legged Hawk
CHIS-1050,Swainson's Hawk
CHIS-1051,Northern Harrier
CHIS-1052,White-Tailed Kite
CHIS-1053,Bald Eagle
CHIS-1054,Osprey
CHIS-1055,Wood Duck
CHIS-1056,Northern Pintail
CHIS-1057,American Wigeon
CHIS-1058,Northern Shoveler
CHIS-1059,Green-Winged Teal
CHIS-1060,Cinnamon Teal
CHIS-1061,Blue-Winged Teal
CHIS-1062,Eurasian Wigeon
CHIS-1063,Mallard
CHIS-1064,Greater White-Fronted Goose
CHIS-1065,Lesser Scaup
CHIS-1066,Redhead
CHIS-1067,Ring-Necked Duck
CHIS-1068,Canvasback
CHIS-1069,Brant
CHIS-1070,Canada Goose
CHIS-1071,Bufflehead
CHIS-1072,Common Goldeneye
CHIS-1073,Snow Goose
CHIS-1074,Ross' Goose
CHIS-1075,Harlequin Duck
CHIS-1076,Hooded Merganser
CHIS-1077,White-Winged Scoter
CHIS-1078,Black Scoter
CHIS-1079,Surf Scoter
CHIS-1080,Red-Breasted Merganser
CHIS-1081,Ruddy Duck
CHIS-1082,White-Throated Swift
CHIS-1083,Chimney Swift
CHIS-1084,Vaux's Swift
CHIS-1085,Black Swift
CHIS-1086,Black-Chinned Hummingbird
